Taxon	Type	Number of genes detected	Completeness percentage
CHL_PON_Bin_64_14_c	mag	40	90.9091
CHL_PON_Bin_64_15_c	mag	18	40.9091
CHL_PON_Bin_64_18_c	mag	15	34.0909
CHL_PON_Bin_64_19_c	mag	19	43.1818
CHL_PON_Bin_64_20_c	mag	43	97.7273
CHL_PON_Bin_64_22_c	mag	41	93.1818
CHL_PON_Bin_64_25_c	mag	16	36.3636
CHL_PON_Bin_64_26_c	mag	28	63.6364
CHL_PON_Bin_64_3_c	mag	24	54.5455
CHL_PON_Bin_64_8_c	mag	41	93.1818
CHL_PSE_Bin_102_5_c	mag	26	59.0909
CHL_PSE_Bin_102_6_c	mag	24	54.5455
CHL_PSE_Bin_121_10_c	mag	17	38.6364
CHL_PSE_Bin_121_13_c	mag	16	36.3636
CHL_PSE_Bin_121_14_c	mag	17	38.6364
CHL_PSE_Bin_121_1_c	mag	18	40.9091
CHL_PSE_Bin_121_5_1_c	mag	19	43.1818
CHL_PSE_Bin_121_6_c	mag	18	40.9091
CHL_PSE_Bin_121_7_c	mag	16	36.3636
CHL_PSE_Bin_121_8_c	mag	26	59.0909
CHL_PSE_Bin_121_9_c	mag	19	43.1818
CHL_PSE_Bin_123_3_c	mag	43	97.7273
CHL_PSE_Bin_149_2_c	mag	7	15.9091
CHL_PSE_Bin_149_3_c	mag	32	72.7273
CHL_PSE_Bin_149_4_c	mag	12	27.2727
CHL_PSE_Bin_149_6_c	mag	12	27.2727
CHL_PSE_Bin_149_7_c	mag	34	77.2727
CHL_PSE_Bin_160_10_c	mag	31	70.4545
CHL_PSE_Bin_160_12_c	mag	20	45.4545
CHL_PSE_Bin_160_13_c	mag	38	86.3636
CHL_PSE_Bin_160_14_c	mag	21	47.7273
CHL_PSE_Bin_160_15_c	mag	16	36.3636
CHL_PSE_Bin_160_17_c	mag	38	86.3636
CHL_PSE_Bin_160_18_c	mag	44	100
CHL_PSE_Bin_160_1_c	mag	26	59.0909
CHL_PSE_Bin_160_2_c	mag	17	38.6364
CHL_PSE_Bin_160_4_c	mag	35	79.5455
CHL_PSE_Bin_160_5_c	mag	23	52.2727
CHL_PSE_Bin_160_6_c	mag	17	38.6364
CHL_PSE_Bin_160_7_c	mag	29	65.9091
CHL_PSE_Bin_165_1_c	mag	44	100
CHL_PSE_Bin_178_10_c	mag	34	77.2727
CHL_PSE_Bin_178_13_c	mag	20	45.4545
CHL_PSE_Bin_178_29_c	mag	42	95.4545
CHL_PSE_Bin_178_45_c	mag	43	97.7273
CHL_PSE_Bin_180_1_c	mag	32	72.7273
CHL_PSE_Bin_180_2_c	mag	9	20.4545
CHL_PSE_Bin_54_2_c	mag	41	93.1818
CHL_PSE_Bin_54_5_c	mag	15	34.0909
CHL_PSE_Bin_77_3_c	mag	34	77.2727
CHL_PSE_Bin_77_9_c	mag	22	50
CHL_PSE_Bin_83_1_c	mag	41	93.1818
CHL_PSE_Bin_83_2_c	mag	30	68.1818
CHL_PSE_Bin_83_3_c	mag	41	93.1818
CHL_PSW_Bin_103_11_c	mag	24	54.5455
CHL_PSW_Bin_103_12_c	mag	31	70.4545
CHL_PSW_Bin_103_14_c	mag	22	50
CHL_PSW_Bin_103_16_c	mag	21	47.7273
CHL_PSW_Bin_103_3_c	mag	23	52.2727
CHL_PSW_Bin_103_4_c	mag	30	68.1818
CHL_PSW_Bin_103_5_c	mag	29	65.9091
CHL_PSW_Bin_103_9_c	mag	18	40.9091
CHL_PSW_Bin_118_12_c	mag	36	81.8182
CHL_PSW_Bin_118_13_c	mag	40	90.9091
CHL_PSW_Bin_118_8_c	mag	27	61.3636
CHL_PSW_Bin_163_10_c	mag	15	34.0909
CHL_PSW_Bin_163_16_c	mag	36	81.8182
CHL_PSW_Bin_163_28_c	mag	26	59.0909
CHL_PSW_Bin_163_30_c	mag	21	47.7273
CHL_PSW_Bin_163_31_c	mag	28	63.6364
CHL_PSW_Bin_163_33_c	mag	23	52.2727
CHL_PSW_Bin_163_5_c	mag	27	61.3636
CHL_PSW_Bin_165_1_c	mag	37	84.0909
CHL_PSW_Bin_165_3_c	mag	44	100
CHL_PSW_Bin_165_4_c	mag	38	86.3636
CHL_PSW_Bin_166_11_c	mag	18	40.9091
CHL_PSW_Bin_166_24_c	mag	29	65.9091
CHL_PSW_Bin_166_29_c	mag	17	38.6364
CHL_PSW_Bin_166_31_c	mag	19	43.1818
CHL_PSW_Bin_166_32_c	mag	13	29.5455
CHL_PSW_Bin_166_35_c	mag	40	90.9091
CHL_PSW_Bin_166_39_c	mag	44	100
CHL_PSW_Bin_166_3_c	mag	26	59.0909
CHL_PSW_Bin_166_40_c	mag	44	100
CHL_PSW_Bin_166_48_c	mag	12	27.2727
CHL_PSW_Bin_166_4_c	mag	13	29.5455
CHL_PSW_Bin_166_6_c	mag	31	70.4545
CHL_PSW_Bin_169_13_c	mag	23	52.2727
CHL_PSW_Bin_169_14_c	mag	21	47.7273
CHL_PSW_Bin_169_15_c	mag	23	52.2727
CHL_PSW_Bin_169_16_c	mag	18	40.9091
CHL_PSW_Bin_169_18_c	mag	7	15.9091
CHL_PSW_Bin_169_19_c	mag	33	75
CHL_PSW_Bin_169_1_c	mag	27	61.3636
CHL_PSW_Bin_169_21_c	mag	8	18.1818
CHL_PSW_Bin_169_23_c	mag	28	63.6364
CHL_PSW_Bin_169_24_c	mag	41	93.1818
CHL_PSW_Bin_169_2_c	mag	41	93.1818
CHL_PSW_Bin_169_3_c	mag	17	38.6364
CHL_PSW_Bin_169_4_c	mag	35	79.5455
CHL_PSW_Bin_169_7_c	mag	44	100
CHL_PSW_Bin_169_8_c	mag	28	63.6364
CHL_PSW_Bin_50_1_c	mag	35	79.5455
CHL_PSW_Bin_61_1_c	mag	43	97.7273
CHL_PSW_Bin_61_4_c	mag	34	77.2727
CHL_PSW_Bin_87_2_c	mag	34	77.2727
CHL_PSW_Bin_87_6_c	mag	20	45.4545
CHL_PSW_Bin_87_8_c	mag	24	54.5455
CHL_SOC_Bin_140_1_c	mag	24	54.5455
CHL_SOC_Bin_140_2_c	mag	40	90.9091
CHL_SOC_Bin_140_3_c	mag	31	70.4545
CHL_SOC_Bin_140_4_c	mag	33	75
CHL_SOC_Bin_140_5_c	mag	23	52.2727
CHL_SOC_Bin_140_6_c	mag	25	56.8182
CHL_SOC_Bin_154_10_c	mag	24	54.5455
CHL_SOC_Bin_154_11_c	mag	26	59.0909
CHL_SOC_Bin_154_12_c	mag	15	34.0909
CHL_SOC_Bin_154_13_c	mag	35	79.5455
CHL_SOC_Bin_154_15_c	mag	26	59.0909
CHL_SOC_Bin_154_16_c	mag	43	97.7273
CHL_SOC_Bin_154_17_c	mag	23	52.2727
CHL_SOC_Bin_154_19_c	mag	40	90.9091
CHL_SOC_Bin_154_1_c	mag	16	36.3636
CHL_SOC_Bin_154_20_c	mag	35	79.5455
CHL_SOC_Bin_154_24_c	mag	20	45.4545
CHL_SOC_Bin_154_26_c	mag	15	34.0909
CHL_SOC_Bin_154_28_c	mag	42	95.4545
CHL_SOC_Bin_154_29_c	mag	30	68.1818
CHL_SOC_Bin_154_31_c	mag	11	25
CHL_SOC_Bin_154_32_c	mag	17	38.6364
CHL_SOC_Bin_154_34_c	mag	22	50
CHL_SOC_Bin_154_36_c	mag	40	90.9091
CHL_SOC_Bin_154_37_c	mag	36	81.8182
CHL_SOC_Bin_154_38_c	mag	26	59.0909
CHL_SOC_Bin_154_39_c	mag	13	29.5455
CHL_SOC_Bin_154_4_c	mag	12	27.2727
CHL_SOC_Bin_154_5_c	mag	14	31.8182
CHL_SOC_Bin_154_6_c	mag	42	95.4545
CHL_SOC_Bin_154_7_c	mag	44	100
CHL_SOC_Bin_175_1_c	mag	31	70.4545
CHL_SOC_Bin_175_3_c	mag	23	52.2727
CHL_SOC_Bin_66_10_c	mag	37	84.0909
CHL_SOC_Bin_66_11_c	mag	22	50
CHL_SOC_Bin_66_1_c	mag	24	54.5455
CHL_SOC_Bin_66_2_c	mag	43	97.7273
CHL_SOC_Bin_66_6_c	mag	38	86.3636
CHL_SOC_Bin_66_8_c	mag	35	79.5455
AP018511	ref	44	100
FJ899583	ref	43	97.7273
GU591327	ref	44	100
GU591328	ref	44	100
JQ088178	ref	44	100
JX297813	ref	42	95.4545
KC509519	ref	44	100
KC509522	ref	44	100
KC598084	ref	44	100
KF733443	ref	44	100
KJ700459	ref	44	100
KJ746597	ref	44	100
KJ746602	ref	44	100
KJ877675	ref	43	97.7273
KP720616	ref	44	100
KY709210	ref	42	95.4545
KY709211	ref	43	97.7273
KY856940	ref	44	100
LC564893	ref	44	100
LC716139	ref	43	97.7273
LC716140	ref	44	100
MF167424	ref	43	97.7273
MF167427	ref	44	100
MG755791	ref	40	90.9091
MG755797	ref	44	100
MK085997	ref	44	100
MK674494	ref	19	43.1818
MK798155	ref	44	100
MT471323	ref	44	100
MW561224	ref	44	100
MW645082	ref	44	100
MW845776	ref	44	100
MW845779	ref	44	100
MW845780	ref	44	100
KT428890	ref	41	93.1818
NC_000925	ref	44	100
NC_000926	ref	44	100
NC_000932	ref	44	100
NC_001319	ref	44	100
NC_001675	ref	44	100
NC_001840	ref	44	100
NC_002186	ref	44	100
NC_004799	ref	42	95.4545
NC_005353	ref	44	100
NC_008097	ref	44	100
NC_008101	ref	43	97.7273
NC_008117	ref	44	100
NC_008408	ref	44	100
NC_009573	ref	44	100
NC_011031	ref	43	97.7273
NC_011600	ref	44	100
NC_012097	ref	42	95.4545
NC_012575	ref	42	95.4545
NC_012898	ref	44	100
NC_012903	ref	44	100
NC_013703	ref	24	54.5455
NC_014340	ref	36	81.8182
NC_014345	ref	42	95.4545
NC_015084	ref	44	100
NC_015359	ref	44	100
NC_015403	ref	44	100
NC_015645	ref	43	97.7273
NC_016703	ref	44	100
NC_016733	ref	44	100
NC_016735	ref	44	100
NC_017754	ref	44	100
NC_020460	ref	44	100
NC_020795	ref	44	100
NC_021075	ref	44	100
NC_023835	ref	19	43.1818
NC_024080	ref	44	100
NC_024084	ref	44	100
NC_024167	ref	41	93.1818
NC_024817	ref	44	100
NC_025310	ref	44	100
NC_025311	ref	44	100
NC_025312	ref	44	100
NC_025533	ref	44	100
NC_025535	ref	43	97.7273
NC_025549	ref	44	100
NC_026523	ref	44	100
NC_026851	ref	44	100
NC_027093	ref	39	88.6364
NC_027589	ref	44	100
NC_027746	ref	44	100
NC_028578	ref	43	97.7273
NC_028585	ref	43	97.7273
NC_029674	ref	42	95.4545
NC_029735	ref	43	97.7273
NC_029743	ref	44	100
NC_029807	ref	44	100
NC_030169	ref	44	100
NC_030629	ref	44	100
NC_031173	ref	44	100
NC_031175	ref	44	100
NC_031176	ref	42	95.4545
NC_031333	ref	44	100
NC_031662	ref	44	100
NC_032042	ref	43	97.7273
NC_034713	ref	44	100
NC_034776	ref	43	97.7273
NC_034787	ref	43	97.7273
NC_035285	ref	44	100
NC_035291	ref	44	100
NC_035350	ref	39	88.6364
NC_035720	ref	44	100
NC_036804	ref	44	100
NC_036937	ref	44	100
NC_037996	ref	44	100
NC_037997	ref	44	100
NC_037998	ref	44	100
NC_038000	ref	44	100
NC_038001	ref	44	100
NC_038003	ref	42	95.4545
NC_038004	ref	44	100
NC_038009	ref	44	100
NC_038051	ref	42	95.4545
NC_038215	ref	43	97.7273
NC_038216	ref	43	97.7273
NC_039737	ref	42	95.4545
NC_039967	ref	41	93.1818
NC_040134	ref	44	100
NC_040135	ref	42	95.4545
NC_040152	ref	43	97.7273
NC_040153	ref	44	100
NC_040294	ref	44	100
NC_040296	ref	44	100
NC_041173	ref	44	100
NC_042171	ref	44	100
NC_042241	ref	43	97.7273
NC_042484	ref	44	100
NC_042487	ref	44	100
NC_043776	ref	41	93.1818
NC_043890	ref	44	100
NC_043929	ref	44	100
NC_044407	ref	44	100
NC_044408	ref	44	100
NC_044463	ref	44	100
NC_044689	ref	30	68.1818
NC_044704	ref	42	95.4545
NC_045244	ref	33	75
NC_049168	ref	44	100
NC_051883	ref	42	95.4545
NC_053868	ref	44	100
NC_056787	ref	44	100
NC_056794	ref	43	97.7273
NC_056910	ref	43	97.7273
NC_057645	ref	44	100
NC_058314	ref	44	100
NC_058658	ref	44	100
NC_058705	ref	44	100
NC_058782	ref	44	100
NC_058785	ref	44	100
NC_058877	ref	44	100
NC_059722	ref	44	100
NC_060532	ref	41	93.1818
NC_060857	ref	44	100
NC_060858	ref	44	100
NC_061048	ref	44	100
NC_061049	ref	44	100
NC_062382	ref	44	100
KY860574	ref	44	100
NC_020371	ref	44	100
NC_040291	ref	44	100
KJ201907	ref	44	100
NC_007288	ref	44	100
