Taxon	Type	Number of genes
CHL_PSW_Bin_87_2_c	mag	84
CHL_PSW_Bin_87_6_c	mag	60
CHL_PSW_Bin_87_8_c	mag	68
CHL_SOC_Bin_140_1_c	mag	105
CHL_SOC_Bin_140_2_c	mag	139
CHL_SOC_Bin_140_3_c	mag	111
CHL_SOC_Bin_140_4_c	mag	121
CHL_SOC_Bin_140_5_c	mag	76
CHL_SOC_Bin_140_6_c	mag	79
CHL_SOC_Bin_154_10_c	mag	87
CHL_SOC_Bin_154_11_c	mag	109
CHL_SOC_Bin_154_12_c	mag	61
CHL_SOC_Bin_154_13_c	mag	112
CHL_SOC_Bin_154_15_c	mag	89
CHL_SOC_Bin_154_16_c	mag	137
CHL_SOC_Bin_154_17_c	mag	108
CHL_SOC_Bin_154_19_c	mag	139
CHL_SOC_Bin_154_1_c	mag	61
CHL_SOC_Bin_154_20_c	mag	134
CHL_SOC_Bin_154_24_c	mag	77
CHL_SOC_Bin_154_26_c	mag	51
CHL_SOC_Bin_154_28_c	mag	148
CHL_SOC_Bin_154_29_c	mag	68
CHL_SOC_Bin_154_31_c	mag	40
CHL_SOC_Bin_154_32_c	mag	53
CHL_SOC_Bin_154_34_c	mag	83
CHL_SOC_Bin_154_36_c	mag	142
CHL_SOC_Bin_154_37_c	mag	134
CHL_SOC_Bin_154_38_c	mag	115
CHL_SOC_Bin_154_39_c	mag	61
CHL_SOC_Bin_154_4_c	mag	40
CHL_SOC_Bin_154_5_c	mag	52
CHL_SOC_Bin_154_6_c	mag	138
CHL_SOC_Bin_154_7_c	mag	150
CHL_SOC_Bin_175_1_c	mag	101
CHL_SOC_Bin_175_3_c	mag	90
CHL_SOC_Bin_66_10_c	mag	84
CHL_SOC_Bin_66_11_c	mag	52
CHL_SOC_Bin_66_1_c	mag	85
CHL_SOC_Bin_66_2_c	mag	90
CHL_SOC_Bin_66_6_c	mag	77
CHL_SOC_Bin_66_8_c	mag	138
AP018511	ref	155
FJ899583	ref	106
GU591327	ref	154
GU591328	ref	174
JQ088178	ref	155
JX297813	ref	134
KC509519	ref	156
KC509522	ref	183
KC598084	ref	154
KF733443	ref	165
KJ700459	ref	230
KJ746597	ref	114
KJ746602	ref	101
KJ877675	ref	152
KP720616	ref	107
KY709210	ref	201
KY709211	ref	222
KY856940	ref	179
LC564893	ref	145
LC716139	ref	96
LC716140	ref	102
MF167424	ref	172
MF167427	ref	157
MG755791	ref	151
MG755797	ref	182
MK085997	ref	101
MK674494	ref	96
MK798155	ref	174
MT471323	ref	137
MW561224	ref	157
MW645082	ref	190
MW845776	ref	155
MW845779	ref	155
MW845780	ref	155
KT428890	ref	175
NC_000925	ref	243
NC_000926	ref	172
NC_000932	ref	103
NC_001319	ref	117
NC_001675	ref	173
NC_001840	ref	223
NC_002186	ref	136
NC_004799	ref	225
NC_005353	ref	114
NC_008097	ref	121
NC_008101	ref	103
NC_008117	ref	130
NC_008408	ref	84
NC_009573	ref	176
NC_011031	ref	114
NC_011600	ref	166
NC_012097	ref	103
NC_012575	ref	86
NC_012898	ref	133
NC_012903	ref	138
NC_013703	ref	115
NC_014340	ref	86
NC_014345	ref	101
NC_015084	ref	164
NC_015359	ref	128
NC_015403	ref	162
NC_015645	ref	107
NC_016703	ref	137
NC_016733	ref	108
NC_016735	ref	166
NC_017754	ref	88
NC_020460	ref	98
NC_020795	ref	233
NC_021075	ref	232
NC_023835	ref	110
NC_024080	ref	166
NC_024084	ref	159
NC_024167	ref	121
NC_024817	ref	106
NC_025310	ref	155
NC_025311	ref	149
NC_025312	ref	153
NC_025533	ref	110
NC_025535	ref	139
NC_025549	ref	117
NC_026523	ref	225
NC_026851	ref	157
NC_027093	ref	91
NC_027589	ref	172
NC_027746	ref	161
NC_028578	ref	108
NC_028585	ref	124
NC_029674	ref	103
NC_029735	ref	102
NC_029743	ref	82
NC_029807	ref	117
NC_030169	ref	107
NC_030629	ref	108
NC_031173	ref	230
NC_031175	ref	215
NC_031176	ref	227
NC_031333	ref	107
NC_031662	ref	239
NC_032042	ref	144
NC_034713	ref	114
NC_034776	ref	218
NC_034787	ref	207
NC_035285	ref	226
NC_035291	ref	225
NC_035350	ref	221
NC_035720	ref	175
NC_036804	ref	165
NC_036937	ref	139
NC_037996	ref	156
NC_037997	ref	161
NC_037998	ref	155
NC_038000	ref	157
NC_038001	ref	160
NC_038003	ref	150
NC_038004	ref	176
NC_038009	ref	155
NC_038051	ref	234
NC_038215	ref	180
NC_038216	ref	174
NC_039737	ref	598
NC_039967	ref	84
NC_040134	ref	152
NC_040135	ref	156
NC_040152	ref	183
NC_040153	ref	164
NC_040294	ref	156
NC_040296	ref	165
NC_041173	ref	232
NC_042171	ref	230
NC_042241	ref	108
NC_042484	ref	99
NC_042487	ref	97
NC_043776	ref	193
NC_043890	ref	150
NC_043929	ref	147
NC_044407	ref	150
NC_044408	ref	145
NC_044463	ref	160
NC_044689	ref	168
NC_044704	ref	93
NC_045244	ref	150
NC_049168	ref	140
NC_051883	ref	227
NC_053868	ref	171
NC_056787	ref	176
NC_056794	ref	168
NC_056910	ref	143
NC_057645	ref	156
NC_058314	ref	171
NC_058658	ref	231
NC_058705	ref	154
NC_058782	ref	152
NC_058785	ref	152
NC_058877	ref	154
NC_059722	ref	129
NC_060532	ref	133
NC_060857	ref	148
NC_060858	ref	151
NC_061048	ref	199
NC_061049	ref	155
NC_062382	ref	232
KY860574	ref	178
NC_020371	ref	134
NC_040291	ref	140
KJ201907	ref	139
NC_007288	ref	141
