Taxon	Type	Size
CHL_PSW_Bin_166_35_c	mag	101014
CHL_PSW_Bin_166_39_c	mag	104048
CHL_PSW_Bin_166_3_c	mag	42816
CHL_PSW_Bin_166_40_c	mag	105796
CHL_PSW_Bin_166_48_c	mag	54628
CHL_PSW_Bin_166_4_c	mag	33615
CHL_PSW_Bin_166_6_c	mag	62006
CHL_PSW_Bin_169_13_c	mag	55339
CHL_PSW_Bin_169_14_c	mag	60082
CHL_PSW_Bin_169_15_c	mag	49846
CHL_PSW_Bin_169_16_c	mag	57441
CHL_PSW_Bin_169_18_c	mag	27226
CHL_PSW_Bin_169_19_c	mag	106044
CHL_PSW_Bin_169_1_c	mag	33778
CHL_PSW_Bin_169_21_c	mag	30746
CHL_PSW_Bin_169_23_c	mag	69962
CHL_PSW_Bin_169_24_c	mag	105143
CHL_PSW_Bin_169_2_c	mag	62259
CHL_PSW_Bin_169_3_c	mag	57644
CHL_PSW_Bin_169_4_c	mag	47346
CHL_PSW_Bin_169_7_c	mag	83500
CHL_PSW_Bin_169_8_c	mag	73317
CHL_PSW_Bin_50_1_c	mag	45054
CHL_PSW_Bin_61_1_c	mag	150440
CHL_PSW_Bin_61_4_c	mag	64553
CHL_PSW_Bin_87_2_c	mag	56912
CHL_PSW_Bin_87_6_c	mag	57287
CHL_PSW_Bin_87_8_c	mag	48338
CHL_SOC_Bin_140_1_c	mag	66972
CHL_SOC_Bin_140_2_c	mag	102645
CHL_SOC_Bin_140_3_c	mag	77733
CHL_SOC_Bin_140_4_c	mag	90190
CHL_SOC_Bin_140_5_c	mag	50260
CHL_SOC_Bin_140_6_c	mag	62015
CHL_SOC_Bin_154_10_c	mag	63092
CHL_SOC_Bin_154_11_c	mag	83406
CHL_SOC_Bin_154_12_c	mag	42982
CHL_SOC_Bin_154_13_c	mag	95019
CHL_SOC_Bin_154_15_c	mag	84404
CHL_SOC_Bin_154_16_c	mag	96737
CHL_SOC_Bin_154_17_c	mag	68638
CHL_SOC_Bin_154_19_c	mag	99456
CHL_SOC_Bin_154_1_c	mag	50963
CHL_SOC_Bin_154_20_c	mag	99389
CHL_SOC_Bin_154_24_c	mag	57054
CHL_SOC_Bin_154_26_c	mag	39025
CHL_SOC_Bin_154_28_c	mag	99202
CHL_SOC_Bin_154_29_c	mag	54655
CHL_SOC_Bin_154_31_c	mag	34292
CHL_SOC_Bin_154_32_c	mag	51055
CHL_SOC_Bin_154_34_c	mag	59699
CHL_SOC_Bin_154_36_c	mag	95428
CHL_SOC_Bin_154_37_c	mag	112197
CHL_SOC_Bin_154_38_c	mag	91036
CHL_SOC_Bin_154_39_c	mag	46252
CHL_SOC_Bin_154_4_c	mag	23853
CHL_SOC_Bin_154_5_c	mag	31829
CHL_SOC_Bin_154_6_c	mag	106089
CHL_SOC_Bin_154_7_c	mag	103175
CHL_SOC_Bin_175_1_c	mag	93010
CHL_SOC_Bin_175_3_c	mag	62042
CHL_SOC_Bin_66_10_c	mag	57223
CHL_SOC_Bin_66_11_c	mag	38801
CHL_SOC_Bin_66_1_c	mag	59358
CHL_SOC_Bin_66_2_c	mag	65944
CHL_SOC_Bin_66_6_c	mag	54459
CHL_SOC_Bin_66_8_c	mag	114213
AP018511	ref	119116
FJ899583	ref	120054
GU591327	ref	116470
GU591328	ref	140426
JQ088178	ref	116251
JX297813	ref	91306
KC509519	ref	121238
KC509522	ref	165809
KC598084	ref	114867
KF733443	ref	152906
KJ700459	ref	167741
KJ746597	ref	85590
KJ746602	ref	72423
KJ877675	ref	126746
KP720616	ref	99983
KY709210	ref	1127474
KY709211	ref	370672
KY856940	ref	140953
LC564893	ref	109550
LC716139	ref	71225
LC716140	ref	100773
MF167424	ref	130276
MF167427	ref	130086
MG755791	ref	138249
MG755797	ref	172317
MK085997	ref	67005
MK674494	ref	88983
MK798155	ref	139208
MT471323	ref	106429
MW561224	ref	122056
MW645082	ref	157307
MW845776	ref	117717
MW845779	ref	119034
MW845780	ref	118222
KT428890	ref	138455
NC_000925	ref	191028
NC_000926	ref	121524
NC_000932	ref	154478
NC_001319	ref	121024
NC_001675	ref	135599
NC_001840	ref	164921
NC_002186	ref	118360
NC_004799	ref	149987
NC_005353	ref	203828
NC_008097	ref	184933
NC_008101	ref	161452
NC_008117	ref	165372
NC_008408	ref	69166
NC_009573	ref	135854
NC_011031	ref	196547
NC_011600	ref	115341
NC_012097	ref	80211
NC_012575	ref	72585
NC_012898	ref	89599
NC_012903	ref	94346
NC_013703	ref	77717
NC_014340	ref	120426
NC_014345	ref	85535
NC_015084	ref	175731
NC_015359	ref	124579
NC_015403	ref	134918
NC_015645	ref	182759
NC_016703	ref	105512
NC_016733	ref	98340
NC_016735	ref	124986
NC_017754	ref	67623
NC_020460	ref	91616
NC_020795	ref	180086
NC_021075	ref	178981
NC_023835	ref	109811
NC_024080	ref	146024
NC_024084	ref	125213
NC_024167	ref	176832
NC_024817	ref	77750
NC_025310	ref	116459
NC_025311	ref	120956
NC_025312	ref	126871
NC_025533	ref	156031
NC_025535	ref	211747
NC_025549	ref	108470
NC_026523	ref	167158
NC_026851	ref	120091
NC_027093	ref	66223
NC_027589	ref	129772
NC_027746	ref	117514
NC_028578	ref	179588
NC_028585	ref	318967
NC_029674	ref	192761
NC_029735	ref	157224
NC_029743	ref	71557
NC_029807	ref	137161
NC_030169	ref	84524
NC_030629	ref	81997
NC_031173	ref	204784
NC_031175	ref	259429
NC_031176	ref	210691
NC_031333	ref	134502
NC_031662	ref	189564
NC_032042	ref	176522
NC_034713	ref	166355
NC_034776	ref	226658
NC_034787	ref	610063
NC_035285	ref	175578
NC_035291	ref	169659
NC_035350	ref	221013
NC_035720	ref	128285
NC_036804	ref	126099
NC_036937	ref	104520
NC_037996	ref	121011
NC_037997	ref	139305
NC_037998	ref	122145
NC_038000	ref	119120
NC_038001	ref	122056
NC_038003	ref	125283
NC_038004	ref	168922
NC_038009	ref	120392
NC_038051	ref	183855
NC_038215	ref	150128
NC_038216	ref	130509
NC_039737	ref	977190
NC_039967	ref	58112
NC_040134	ref	133257
NC_040135	ref	146918
NC_040152	ref	137017
NC_040153	ref	143343
NC_040294	ref	121124
NC_040296	ref	125946
NC_041173	ref	177099
NC_042171	ref	186778
NC_042241	ref	177618
NC_042484	ref	64740
NC_042487	ref	71262
NC_043776	ref	399372
NC_043890	ref	109450
NC_043929	ref	140025
NC_044407	ref	108152
NC_044408	ref	112413
NC_044463	ref	142551
NC_044689	ref	130377
NC_044704	ref	97270
NC_045244	ref	123275
NC_049168	ref	105872
NC_051883	ref	147972
NC_053868	ref	138101
NC_056787	ref	156261
NC_056794	ref	155908
NC_056910	ref	133923
NC_057645	ref	118107
NC_058314	ref	129988
NC_058658	ref	182454
NC_058705	ref	126883
NC_058782	ref	116546
NC_058785	ref	123664
NC_058877	ref	128737
NC_059722	ref	111026
NC_060532	ref	282795
NC_060857	ref	124165
NC_060858	ref	140121
NC_061048	ref	186015
NC_061049	ref	119449
NC_062382	ref	240595
KY860574	ref	139403
NC_020371	ref	95281
NC_040291	ref	105837
KJ201907	ref	104518
NC_007288	ref	105309
