Taxon	Type	GCcontent
CHL_PSW_Bin_103_14_c	mag	30.79
CHL_PSW_Bin_103_16_c	mag	28.49
CHL_PSW_Bin_103_3_c	mag	27.92
CHL_PSW_Bin_103_4_c	mag	29.76
CHL_PSW_Bin_103_5_c	mag	31.00
CHL_PSW_Bin_103_9_c	mag	30.45
CHL_PSW_Bin_118_12_c	mag	34.89
CHL_PSW_Bin_118_13_c	mag	34.30
CHL_PSW_Bin_118_8_c	mag	34.26
CHL_PSW_Bin_163_10_c	mag	34.30
CHL_PSW_Bin_163_16_c	mag	31.99
CHL_PSW_Bin_163_28_c	mag	33.76
CHL_PSW_Bin_163_30_c	mag	31.71
CHL_PSW_Bin_163_31_c	mag	31.20
CHL_PSW_Bin_163_33_c	mag	33.60
CHL_PSW_Bin_163_5_c	mag	34.13
CHL_PSW_Bin_165_1_c	mag	39.06
CHL_PSW_Bin_165_3_c	mag	29.79
CHL_PSW_Bin_165_4_c	mag	28.86
CHL_PSW_Bin_166_11_c	mag	29.08
CHL_PSW_Bin_166_24_c	mag	27.04
CHL_PSW_Bin_166_29_c	mag	29.01
CHL_PSW_Bin_166_31_c	mag	27.96
CHL_PSW_Bin_166_32_c	mag	27.30
CHL_PSW_Bin_166_35_c	mag	28.71
CHL_PSW_Bin_166_39_c	mag	30.84
CHL_PSW_Bin_166_3_c	mag	30.76
CHL_PSW_Bin_166_40_c	mag	29.46
CHL_PSW_Bin_166_48_c	mag	28.98
CHL_PSW_Bin_166_4_c	mag	28.40
CHL_PSW_Bin_166_6_c	mag	29.54
CHL_PSW_Bin_169_13_c	mag	34.34
CHL_PSW_Bin_169_14_c	mag	29.12
CHL_PSW_Bin_169_15_c	mag	31.21
CHL_PSW_Bin_169_16_c	mag	29.33
CHL_PSW_Bin_169_18_c	mag	29.35
CHL_PSW_Bin_169_19_c	mag	28.94
CHL_PSW_Bin_169_1_c	mag	35.14
CHL_PSW_Bin_169_21_c	mag	31.70
CHL_PSW_Bin_169_23_c	mag	27.83
CHL_PSW_Bin_169_24_c	mag	29.53
CHL_PSW_Bin_169_2_c	mag	29.81
CHL_PSW_Bin_169_3_c	mag	29.30
CHL_PSW_Bin_169_4_c	mag	37.46
CHL_PSW_Bin_169_7_c	mag	33.15
CHL_PSW_Bin_169_8_c	mag	29.42
CHL_PSW_Bin_50_1_c	mag	25.70
CHL_PSW_Bin_61_1_c	mag	32.96
CHL_PSW_Bin_61_4_c	mag	36.53
CHL_PSW_Bin_87_2_c	mag	34.41
CHL_PSW_Bin_87_6_c	mag	33.87
CHL_PSW_Bin_87_8_c	mag	34.64
CHL_SOC_Bin_140_1_c	mag	31.20
CHL_SOC_Bin_140_2_c	mag	29.84
CHL_SOC_Bin_140_3_c	mag	29.89
CHL_SOC_Bin_140_4_c	mag	31.01
CHL_SOC_Bin_140_5_c	mag	29.60
CHL_SOC_Bin_140_6_c	mag	31.53
CHL_SOC_Bin_154_10_c	mag	30.11
CHL_SOC_Bin_154_11_c	mag	31.06
CHL_SOC_Bin_154_12_c	mag	28.92
CHL_SOC_Bin_154_13_c	mag	29.03
CHL_SOC_Bin_154_15_c	mag	29.74
CHL_SOC_Bin_154_16_c	mag	30.44
CHL_SOC_Bin_154_17_c	mag	30.73
CHL_SOC_Bin_154_19_c	mag	30.80
CHL_SOC_Bin_154_1_c	mag	29.54
CHL_SOC_Bin_154_20_c	mag	29.34
CHL_SOC_Bin_154_24_c	mag	29.59
CHL_SOC_Bin_154_26_c	mag	29.33
CHL_SOC_Bin_154_28_c	mag	29.72
CHL_SOC_Bin_154_29_c	mag	29.71
CHL_SOC_Bin_154_31_c	mag	29.20
CHL_SOC_Bin_154_32_c	mag	27.81
CHL_SOC_Bin_154_34_c	mag	29.09
CHL_SOC_Bin_154_36_c	mag	29.31
CHL_SOC_Bin_154_37_c	mag	28.17
CHL_SOC_Bin_154_38_c	mag	28.52
CHL_SOC_Bin_154_39_c	mag	29.67
CHL_SOC_Bin_154_4_c	mag	30.60
CHL_SOC_Bin_154_5_c	mag	30.76
CHL_SOC_Bin_154_6_c	mag	30.97
CHL_SOC_Bin_154_7_c	mag	30.39
CHL_SOC_Bin_175_1_c	mag	34.60
CHL_SOC_Bin_175_3_c	mag	34.58
CHL_SOC_Bin_66_10_c	mag	34.18
CHL_SOC_Bin_66_11_c	mag	34.05
CHL_SOC_Bin_66_1_c	mag	30.04
CHL_SOC_Bin_66_2_c	mag	37.09
CHL_SOC_Bin_66_6_c	mag	38.91
CHL_SOC_Bin_66_8_c	mag	33.20
AP018511	ref	32.80
FJ899583	ref	37.78
GU591327	ref	32.55
GU591328	ref	32.40
JQ088178	ref	30.57
JX297813	ref	34.61
KC509519	ref	30.67
KC509522	ref	30.49
KC598084	ref	32.99
KF733443	ref	28.74
KJ700459	ref	28.49
KJ746597	ref	32.13
KJ746602	ref	37.89
KJ877675	ref	30.91
KP720616	ref	25.30
KY709210	ref	23.70
KY709211	ref	25.46
KY856940	ref	32.04
LC564893	ref	34.67
LC716139	ref	34.81
LC716140	ref	34.57
MF167424	ref	33.42
MF167427	ref	30.59
MG755791	ref	32.61
MG755797	ref	31.35
MK085997	ref	35.92
MK674494	ref	29.09
MK798155	ref	33.92
MT471323	ref	35.13
MW561224	ref	30.43
MW645082	ref	31.26
MW845776	ref	31.27
MW845779	ref	30.26
MW845780	ref	31.80
KT428890	ref	32.97
NC_000925	ref	32.99
NC_000926	ref	32.97
NC_000932	ref	36.29
NC_001319	ref	28.81
NC_001675	ref	30.47
NC_001840	ref	32.73
NC_002186	ref	30.15
NC_004799	ref	37.63
NC_005353	ref	34.46
NC_008097	ref	26.19
NC_008101	ref	26.89
NC_008117	ref	31.08
NC_008408	ref	30.17
NC_009573	ref	34.76
NC_011031	ref	29.52
NC_011600	ref	27.95
NC_012097	ref	39.50
NC_012575	ref	38.85
NC_012898	ref	35.99
NC_012903	ref	33.64
NC_013703	ref	38.14
NC_014340	ref	36.63
NC_014345	ref	47.74
NC_015084	ref	50.71
NC_015359	ref	33.93
NC_015403	ref	32.10
NC_015645	ref	27.24
NC_016703	ref	35.51
NC_016733	ref	34.84
NC_016735	ref	28.94
NC_017754	ref	34.32
NC_020460	ref	26.41
NC_020795	ref	28.73
NC_021075	ref	29.16
NC_023835	ref	34.02
NC_024080	ref	31.12
NC_024084	ref	31.97
NC_024167	ref	42.03
NC_024817	ref	34.05
NC_025310	ref	32.07
NC_025311	ref	31.76
NC_025312	ref	31.01
NC_025533	ref	27.79
NC_025535	ref	31.38
NC_025549	ref	38.21
NC_026523	ref	29.98
NC_026851	ref	33.98
NC_027093	ref	34.61
NC_027589	ref	34.21
NC_027746	ref	31.74
NC_028578	ref	27.01
NC_028585	ref	38.11
NC_029674	ref	31.93
NC_029735	ref	28.31
NC_029743	ref	29.85
NC_029807	ref	32.58
NC_030169	ref	36.98
NC_030629	ref	31.94
NC_031173	ref	29.25
NC_031175	ref	30.72
NC_031176	ref	31.87
NC_031333	ref	39.00
NC_031662	ref	32.14
NC_032042	ref	33.64
NC_034713	ref	33.66
NC_034776	ref	27.05
NC_034787	ref	23.26
NC_035285	ref	29.30
NC_035291	ref	26.55
NC_035350	ref	26.00
NC_035720	ref	35.34
NC_036804	ref	31.19
NC_036937	ref	36.31
NC_037996	ref	32.17
NC_037997	ref	31.81
NC_037998	ref	32.26
NC_038000	ref	29.42
NC_038001	ref	32.36
NC_038003	ref	30.20
NC_038004	ref	29.46
NC_038009	ref	29.80
NC_038051	ref	28.10
NC_038215	ref	29.79
NC_038216	ref	30.24
NC_039737	ref	39.89
NC_039967	ref	29.38
NC_040134	ref	28.66
NC_040135	ref	28.85
NC_040152	ref	33.60
NC_040153	ref	29.60
NC_040294	ref	33.51
NC_040296	ref	34.59
NC_041173	ref	30.01
NC_042171	ref	33.99
NC_042241	ref	31.16
NC_042484	ref	37.17
NC_042487	ref	39.66
NC_043776	ref	29.75
NC_043890	ref	37.56
NC_043929	ref	32.03
NC_044407	ref	34.66
NC_044408	ref	33.07
NC_044463	ref	31.72
NC_044689	ref	30.96
NC_044704	ref	35.27
NC_045244	ref	30.77
NC_049168	ref	36.18
NC_051883	ref	39.61
NC_053868	ref	30.80
NC_056787	ref	30.28
NC_056794	ref	29.68
NC_056910	ref	28.91
NC_057645	ref	31.64
NC_058314	ref	33.48
NC_058658	ref	28.69
NC_058705	ref	31.58
NC_058782	ref	32.07
NC_058785	ref	32.13
NC_058877	ref	30.86
NC_059722	ref	46.88
NC_060532	ref	33.22
NC_060857	ref	29.78
NC_060858	ref	29.84
NC_061048	ref	30.84
NC_061049	ref	29.99
NC_062382	ref	28.90
KY860574	ref	35.81
NC_020371	ref	35.57
NC_040291	ref	36.22
KJ201907	ref	36.31
NC_007288	ref	36.81
